Names,Prices,Neighbourhoods,Number_of_reviews,Ratings,Type_of_pubs
Stromeck,€,Tiergarten,,,Dive BarsPubs
Kastanienwäldchen,€€,Reinickendorf,9,2.5,PubsMusic Venues
Coconut,,,1,5,PubsLichtenberg
Jägerklause | Prost Mahlzeit!,€€,Friedrichshain,33,4,PubsBeer GardensDive Bars
Blackland,€,Prenzlauer,9,4,Pubs
Sterntaler,€€,Steglitz,4,4,Pubs
Klo,€€,Charlottenburg,62,3,Pubs
Wilhelm Hoeck 1892,€,Charlottenburg,31,3.5,Pubs
Wowsville,€€,Kreuzberg,4,5,Pubs
Heidenpeters,€€,Kreuzberg,25,4.5,Breweries
Gaststätte Zum Nußbaum,€€,Mitte,32,3.5,GermanBars
Pilsstübchen,,,1,3,PubsCharlottenburg
Vagabund Brauerei,€€,Wedding,31,4.5,BreweriesBeer Bars
Mittenmang,€,Wilmersdorf,1,4,Dive Bars
Alte Wäscherei,€€€€,Prenzlauer,1,5,Pubs
Kneipen Kult,€,Wedding,1,5,Pubs
Gaststätte,,,,,PubsCharlottenburg
Gaststätte Meyerheim,,,1,5,PubsPrenzlauer Berg
Cafe Bar Birdcage,,,1,3,PubsMitte
Lipopette,€,Neukölln,11,4.5,PubsFrench
Lokal Pannwitz,,,,,PubsBistrosReinickendorf
Abgedreht,€€,Friedrichshain,37,4,Dive Bars
Gaststätte Spree-Eck,€,Charlottenburg,2,4,Dive Bars
BrewDog,€€,Mitte,31,4,Beer Bars
Steinhaus,,,,,PubsLichtenberg
Zur Kneipe,,,,,PubsNeukölln
Pub At The Shoot Out Eye,,,,,PubsMitte
Kneipe Bienenkorb,€€,Neukölln,5,4,PubsSports Bars
Lemmys Keller Bar,,,1,4,PubsTempelhof
Paules Metal Eck,€€,Friedrichshain,55,3.5,Dive Bars
Taqueria Florian,€€,Kreuzberg,8,4,BarsCafes
Hansa Stuben,€,Reinickendorf,6,5,PubsDive Bars
Robby’s Pub,,,1,5,Sports BarsIrish PubsZehlendorf
Sabrina,€,Zehlendorf,5,3,Pubs
Zum Schloßpark,€,,1,5,Pubs
Maxi 1,€,Pankow,16,3.5,PubsGerman
Billard-Pub,,,,,PubsAmateur Sports TeamsSpandau
Märkische Bierstuben Monika Kirchner,,,,,PubsGermanReinickendorf
Astra Stube,€,Neukölln,4,4,Pubs
Blue Café,€,Wilmersdorf,3,4,Pubs
Rothaus,€€,Mitte,5,3,PubsGerman
Bei Schlawinchen,€,Kreuzberg,32,4,Dive Bars
Johannisthaler Stüb’l,€,Treptow,1,3,Pubs
Flumis Pub ala Pub das alte The Shannon,,,1,1,Irish PubsSchöneberg
Kings-Pub,€€,Spandau,1,3,Dive BarsIrish Pubs
Mondial Terrassen,€€,Mitte,102,2,InternationalBreakfast & BrunchCocktail Bars
Roofgarden,,,,,PubsHohenschönhausen
Yolanda,€,Prenzlauer,3,3.5,Pubs
Gaststätte Heiners Tropical Inn,€,Schöneberg,4,4,Pubs
Gaststätte Weberwiese,€,Friedrichshain,3,4,Pubs
Aky,,,1,5,PubsStreet FoodReuterkiez
Heidelberger Krug,€€,Bergmannkiez,5,3,Pubs
The Paris Premium,,,2,4,PubsShisha BarsWilmersdorf
Kilkenny,€€,,3,3.5,Pubs
Inselnest,€,Schöneberg,6,4,Pubs
Westend-Klause,€€,Charlottenburg,5,3.5,PubsRestaurants
Prinzknecht,€€,Schöneberg,34,3,Gay Bars
Juleps New York Bar & Restaurant,€€€,Charlottenburg,91,3.5,American (Traditional)Cocktail BarsSports Bars
Mommseneck,€€,Tiergarten,65,2.5,GermanPubs
Große Freiheit 114,€€,Friedrichshain,6,2.5,Gay BarsPubs
Cafe Miami,€,Neukölln,2,5,Pubs
Bauernstube,€,Neukölln,1,5,Pubs
Westend Pinte,,,1,5,PubsCharlottenburg
Fuchsbau,€€,Kreuzberg,53,3.5,Beer BarsCocktail Bars
Blech Bilder Bar,€€,Friedrichshain,45,3.5,Dive BarsGerman
Plan B,€€,Spandau,5,4.5,PubsCafesCoffee & Tea Shops
Löwe Rein,€€,Neukölln,6,3.5,Pubs
Simone’s Bier- und Speisegaststätte,€,Reuterkiez,1,5,Pubs
Gaststätte Heinzelmännchen,€,Lichtenberg,1,5,Pubs
B3 - Bierhaus 3,€,Charlottenburg,3,4.5,PubsDive Bars
Kathy’s Bar & Café,,,,,PubsReinickendorf
Sameheads,€€,Neukölln,15,3.5,Music Venues
Klein Zaches,€€,Wedding,5,3.5,Dive BarsPubs
Daniel’s,€€,Zehlendorf,3,3.5,PubsCoffee & Tea Shops
Pichelsberger Krug,,,,,ItalianPubsCharlottenburg
Sky Shishabar,,,,,PubsReinickendorf
Druide,€€,Prenzlauer,36,3.5,Bars
Zur Grünen Fliese,€,Tiergarten,1,4,Pubs
Zum Absacker,,,,,PubsLichtenberg
Radke’s Gasthaus Alt-Berlin,€€,Wilmersdorf,19,2,GermanPubs
Barlou,€,Friedrichshain,18,3,PubsCocktail Bars
Zum Umsteiger,€€,Neukölln,7,4,Pubs
Bierhof Rüdersdorf - Temp,€€,Friedrichshain,24,4,PubsBeer Gardens
Queens Pub,€€,Schöneberg,7,2.5,PubsDive Bars
Wikinger Eck,,,5,4,PubsTiergarten
Altstadtkeller,€,,1,5,Pubs
Zur Insel,,,,,PubsTempelhof
Chez Icke,,,1,5,PubsKreuzberg
Bar Walther,€€,Kreuzberg,11,3.5,Bars
Gelbes Schloss,€,Wedding,4,4.5,PubsFoodSocial Clubs
Bose Eck,,,2,4,PubsTempelhof
Yuppis Kneipe,,,,,PubsTreptow
Café Dachkammer,€€,Friedrichshain,93,3.5,PubsCafes
Gleis 6,€€,,25,4,Pubs
Zum Gemütlichen Laternchen,,,2,3,PubsTiergarten
Südblock,€,Kreuzberg,39,3.5,Beer GardensPubsBreakfast & Brunch
Oranienburger Hafenbar,,,1,4,Pubs
bauer&ewald,,,,,PubsReuterkiez
Wernesgrüner B,€€,Lichtenberg,46,4,PubsGerman
Die Wasserpfeife,€,Wilmersdorf,4,3,Pubs
Epis Bar,,,,,PubsMarzahn
Freibeuter,€,Friedrichshain,4,4,Pubs
Berlinchen-City,€€,Schöneberg,1,4,Dive Bars
Backbord,€€,Kreuzberg,6,3,Dive BarsSports Bars
Zeitsprung,,,1,5,PubsTempelhof
Bei Joschi,€,Schöneberg,6,4,PubsSports Bars
Holland Mühle,,,2,3.5,PubsSteglitz
